LISTA DE TOKENS:

Linha:	1	|	.		|	Delimitador
Linha:	1	|	<		|	Operador Relacional
Linha:	1	|	>		|	Operador Relacional
Linha:	2	|	.		|	Delimitador
Linha:	2	|	<		|	Operador Relacional
Linha:	2	|	>		|	Operador Relacional
Linha:	3	|	*		| Operador Lógico
Linha:	3	|	,		|	Delimitador
Linha:	3	|	(		|	Delimitador
Linha:	3	|	)		|	Delimitador
Linha:	3	|	{		|	Delimitador
Linha:	3	|	int	|	Palavra Reservada
Linha:	4	|	*		| Operador Lógico
Linha:	4	|	;		|	Delimitador
Linha:	4	|	int	|	Palavra Reservada
Linha:	5	|	*		| Operador Lógico
Linha:	5	|	;		|	Delimitador
Linha:	6	|	*		| Operador Lógico
Linha:	6	|	;		|	Delimitador
Linha:	7	|	}		|	Delimitador
Linha:	8	|	*		| Operador Lógico
Linha:	8	|	,		|	Delimitador
Linha:	8	|	(		|	Delimitador
Linha:	8	|	)		|	Delimitador
Linha:	8	|	{		|	Delimitador
Linha:	8	|	int	|	Palavra Reservada
Linha:	9	|	1		|	Número Inteiro
Linha:	9	|	;		|	Delimitador
Linha:	9	|	(		|	Delimitador
Linha:	9	|	)		|	Delimitador
Linha:	9	|	<		|	Operador Relacional
Linha:	9	|	return	|	Palavra Reservada
Linha:	9	|	if	|	Palavra Reservada
Linha:	11	|	0		|	Número Inteiro
Linha:	11	|	+		| Operador Lógico
Linha:	11	|	++		| Operador Lógico
Linha:	11	|	;		|	Delimitador
Linha:	11	|	(		|	Delimitador
Linha:	11	|	)		|	Delimitador
Linha:	11	|	<		|	Operador Relacional
Linha:	11	|	int	|	Palavra Reservada
Linha:	12	|	1		|	Número Inteiro
Linha:	12	|	+		| Operador Lógico
Linha:	12	|	(		|	Delimitador
Linha:	12	|	)		|	Delimitador
Linha:	12	|	[		|	Delimitador
Linha:	12	|	]		|	Delimitador
Linha:	12	|	>		|	Operador Relacional
Linha:	12	|	if	|	Palavra Reservada
Linha:	13	|	1		|	Número Inteiro
Linha:	13	|	+		| Operador Lógico
Linha:	13	|	;		|	Delimitador
Linha:	13	|	,		|	Delimitador
Linha:	13	|	(		|	Delimitador
Linha:	13	|	)		|	Delimitador
Linha:	13	|	[		|	Delimitador
Linha:	13	|	]		|	Delimitador
Linha:	14	|	1		|	Número Inteiro
Linha:	14	|	-		| Operador Lógico
Linha:	14	|	;		|	Delimitador
Linha:	14	|	,		|	Delimitador
Linha:	14	|	(		|	Delimitador
Linha:	14	|	)		|	Delimitador
Linha:	15	|	}		|	Delimitador
Linha:	17	|	(		|	Delimitador
Linha:	17	|	)		|	Delimitador
Linha:	17	|	{		|	Delimitador
Linha:	17	|	int	|	Palavra Reservada
Linha:	18	|	*		| Operador Lógico
Linha:	18	|	;		|	Delimitador
Linha:	18	|	,		|	Delimitador
Linha:	18	|	int	|	Palavra Reservada
Linha:	19	|	;		|	Delimitador
Linha:	19	|	,		|	Delimitador
Linha:	19	|	(		|	Delimitador
Linha:	19	|	)		|	Delimitador
Linha:	20	|	*		| Operador Lógico
Linha:	20	|	;		|	Delimitador
Linha:	20	|	(		|	Delimitador
Linha:	20	|	)		|	Delimitador
Linha:	20	|	int	|	Palavra Reservada
Linha:	21	|	0		|	Número Inteiro
Linha:	21	|	+		| Operador Lógico
Linha:	21	|	++		| Operador Lógico
Linha:	21	|	;		|	Delimitador
Linha:	21	|	,		|	Delimitador
Linha:	21	|	(		|	Delimitador
Linha:	21	|	)		|	Delimitador
Linha:	21	|	[		|	Delimitador
Linha:	21	|	]		|	Delimitador
Linha:	21	|	<		|	Operador Relacional
Linha:	22	|	1		|	Número Inteiro
Linha:	22	|	-		| Operador Lógico
Linha:	22	|	;		|	Delimitador
Linha:	22	|	,		|	Delimitador
Linha:	22	|	(		|	Delimitador
Linha:	22	|	)		|	Delimitador
Linha:	23	|	0		|	Número Inteiro
Linha:	23	|	+		| Operador Lógico
Linha:	23	|	++		| Operador Lógico
Linha:	23	|	;		|	Delimitador
Linha:	23	|	,		|	Delimitador
Linha:	23	|	(		|	Delimitador
Linha:	23	|	)		|	Delimitador
Linha:	23	|	[		|	Delimitador
Linha:	23	|	]		|	Delimitador
Linha:	23	|	<		|	Operador Relacional
Linha:	23	|	print	|	Palavra Reservada
Linha:	23	|	int	|	Palavra Reservada
Linha:	24	|	0		|	Número Inteiro
Linha:	24	|	;		|	Delimitador
Linha:	24	|	return	|	Palavra Reservada
Linha:	25	|	}		|	Delimitador
